Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,X10,CIK
DDD,3D Systems Corporation,10.15,1155701898.4,n/a,n/a,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd,NA,910638
MMM,3M Company,236.67,140936985e3,n/a,n/a,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm,NA,66740
WBAI,500.com Limited,15.64,638193609.52,n/a,2013,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai,NA,1517496
WUBA,58.com Inc.,78.26,11465883712.92,n/a,2013,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba,NA,1525494
EGHT,8x8 Inc,18.5,1705007045.5,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght,NA,1023731
AHC,A.H. Belo Corporation,5.25,114204121.5,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc,NA,1413898
ATEN,"A10 Networks, Inc.",6.35,449271707.5,n/a,2014,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten,NA,1580808
AAC,"AAC Holdings, Inc.",8.32,199667245.44,n/a,2014,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac,NA,1606180
AIR,AAR Corp.,42.5,1475998352.5,n/a,n/a,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air,NA,1750
AAN,"Aaron&#39;s,  Inc.",43.4,3149898263.4,n/a,n/a,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,NA,706688
ABB,ABB Ltd,25.42,54257758731.46,n/a,n/a,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb,NA,1091587
ABT,Abbott Laboratories,60.17,104731943336.79,n/a,n/a,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,NA,1800
ABBV,AbbVie Inc.,118.6,189336567164,n/a,2012,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,NA,1551152
ANF,Abercrombie & Fitch Company,21.92,1492790798.4,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf,NA,1018840
GCH,"Aberdeen Greater China Fund, Inc.",13.12,115676337.28,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/gch,NA,NA
ACP,Aberdeen Income Credit Strategies Fund,14.01,183167748.72,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/acp,NA,NA
JEQ,"Aberdeen Japan Equity Fund, Inc.",9.29,124278758.68,n/a,1992,n/a,n/a,https://www.nasdaq.com/symbol/jeq,NA,NA
SGF,"Aberdeen Singapore Fund, Inc.",13.07,96965650.36,n/a,1990,n/a,n/a,https://www.nasdaq.com/symbol/sgf,NA,NA
ABM,ABM Industries Incorporated,36.62,2401682234.9,n/a,n/a,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm,NA,771497
AKR,Acadia Realty Trust,23.06,1930256555.1,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr,NA,899629
ACN,Accenture plc,162.66,103546594033.2,n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn,NA,1467373
ACCO,Acco Brands Corporation,13.65,1454421477.6,n/a,n/a,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco,NA,712034
ATV,"Acorn International, Inc.",19.9717,53550159.1534,n/a,2007,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv,NA,1365742
ATU,Actuant Corporation,24,1440180504,n/a,n/a,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu,NA,6955
AYI,Acuity Brands Inc,151.14,6371803648.32,n/a,n/a,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi,NA,1144215
GOLF,Acushnet Holdings Corp.,21.17,1576727183.23,n/a,2016,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf,NA,1672013
ADX,"Adams Diversified Equity Fund, Inc.",15.34,1516099661.96,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/adx,NA,2230
PEO,"Adams Natural Resources Fund, Inc.",18.61,531335021.89,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/peo,NA,216851
AGRO,Adecoagro S.A.,9.21,1127136516.15,n/a,2011,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro,NA,1499505
ADNT,Adient plc,61.89,5777552618.73,n/a,2016,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt,NA,1670541
ADT,ADT Inc.,11.58,8672833797.24,n/a,2018,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt,NA,1703056
ATGE,Adtalem Global Education Inc.,47.95,2890282150,n/a,n/a,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge,NA,730464
AAP,Advance Auto Parts Inc,107.57,7949212485.51,n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap,NA,1158449
ADSW,"Advanced Disposal Services, Inc.",23.95,2119364096.3,n/a,2016,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw,NA,1585790
WMS,"Advanced Drainage Systems, Inc.",27,1519063416,n/a,2014,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms,NA,1604028
ASX,"Advanced Semiconductor Engineering, Inc.",6.88,11656678956.16,n/a,n/a,Technology,Semiconductors,https://www.nasdaq.com/symbol/asx,NA,1122411
ASIX,AdvanSix Inc.,38.35,1169021746.1,n/a,2016,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix,NA,1673985
AAV,Advantage Oil & Gas Ltd,3,557889558,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aav,NA,1259995
AVK,Advent Claymore Convertible Securities and Income Fund,15.48,310277172.6,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/avk,NA,1219120
AGC,Advent Claymore Convertible Securities and Income Fund II,5.78,158183248.32,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/agc,NA,1219120
LCM,Advent/Claymore Enhanced Growth & Income Fund,7.98,73272687.18,n/a,2005,n/a,n/a,https://www.nasdaq.com/symbol/lcm,NA,1278460
ACM,AECOM,35.36,5628220118.56,n/a,2007,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm,NA,868857
ANW,Aegean Marine Petroleum Network Inc.,4.45,180849877.9,n/a,2006,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/anw,NA,1344376
AEB,Aegon NV,24.24,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb,NA,769218
AED,Aegon NV,25.79,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed,NA,769218
AEG,Aegon NV,6.85,14076384025.05,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg,NA,769218
AEH,Aegon NV,25.64,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeh,NA,769218
AEK,Aegon NV,26.52,0,n/a,n/a,Finance,Life Insurance,https://www.nasdaq.com/symbol/aek,NA,769218
AER,Aercap Holdings N.V.,51.96,8210505176.76,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aer,NA,1378789
HIVE,"Aerohive Networks, Inc.",4.38,234761732.22,n/a,2014,Technology,EDP Services,https://www.nasdaq.com/symbol/hive,NA,1372414
AJRD,"Aerojet Rocketdyne Holdings, Inc.",27.3,205023e4,n/a,n/a,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/ajrd,NA,40888
AET,Aetna Inc.,178.51,58225022806.81,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aet,NA,1122304
AMG,"Affiliated Managers Group, Inc.",191.79,10660055477.85,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amg,NA,1004434
AFL,Aflac Incorporated,89.65,35004290750,n/a,n/a,Finance,Accident &Health Insurance,https://www.nasdaq.com/symbol/afl,NA,4977
MITT,"AG Mortgage Investment Trust, Inc.",17.61,496470647.01,n/a,2011,n/a,n/a,https://www.nasdaq.com/symbol/mitt,NA,1514281
MITT^A,"AG Mortgage Investment Trust, Inc.",25.27,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^a,NA,NA
MITT^B,"AG Mortgage Investment Trust, Inc.",24.92,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/mitt^b,NA,NA
AGCO,AGCO Corporation,67.08,5336170934.64,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/agco,NA,880266
A,"Agilent Technologies, Inc.",71.97,23225964296.91,n/a,1999,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/a,NA,1090872
AEM,Agnico Eagle Mines Limited,43.1,10029337114.7,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aem,NA,2809
ADC,Agree Realty Corporation,46.56,1443015502.56,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/adc,NA,917251
AL,Air Lease Corporation,46.06,4755238729.64,n/a,2011,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/al,NA,1487712
APD,"Air Products and Chemicals, Inc.",163.63,35825038149.89,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/apd,NA,2969
AYR,Aircastle Limited,20.3,1597141415.1,n/a,2006,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/ayr,NA,1362988
AKS,AK Steel Holding Corporation,5.96,1876712031.24,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/aks,NA,918160
ALP^Q,Alabama Power Company,25.21,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/alp^q,NA,NA
ALG,"Alamo Group, Inc.",112.83,1312483015.02,n/a,n/a,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/alg,NA,897077
AGI,Alamos Gold Inc.,5.62,2187036330.64,n/a,2015,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/agi,NA,1178819
ALK,"Alaska Air Group, Inc.",64.97,7994226958.09,n/a,n/a,Transportation,Air Freight/Delivery Services,https://www.nasdaq.com/symbol/alk,NA,766421
AIN,Albany International Corporation,65.95,2123485535.2,n/a,n/a,Basic Industries,Textiles,https://www.nasdaq.com/symbol/ain,NA,819793
ALB,Albemarle Corporation,112.24,12402031868.24,n/a,n/a,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/alb,NA,915913
AA,Alcoa Corporation,47.36,8771105767.68,n/a,2016,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/aa,NA,1675149
ALEX,"Alexander & Baldwin Holdings, Inc.",23.48,1687961632.76,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alex,NA,1545654
ALX,"Alexander&#39;s, Inc.",353.13,1803537317.7,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/alx,NA,3499
ARE,"Alexandria Real Estate Equities, Inc.",122.66,12417958199.62,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/are,NA,1035443
ARE^D,"Alexandria Real Estate Equities, Inc.",35.8,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/are^d,NA,NA
AQN,Algonquin Power & Utilities Corp.,10.27,4446380047.46,n/a,2016,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aqn,NA,1174169
BABA,Alibaba Group Holding Limited,183.68,471292467367.68,n/a,2014,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/baba,NA,1577552
Y,Alleghany Corporation,595.88,9170575323.6,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/y,NA,775368
ATI,Allegheny Technologies Incorporated,27.82,3501511414.18,n/a,n/a,Basic Industries,Steel/Iron Ore,https://www.nasdaq.com/symbol/ati,NA,1018963
ALLE,Allegion plc,82.72,7861927180.8,n/a,2013,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/alle,NA,1579241
AGN,Allergan plc.,164.04,54556931231.88,n/a,2013,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/agn,NA,1578845
AGN^A,Allergan plc.,577.05,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/agn^a,NA,NA
ALE,"Allete, Inc.",69.34,3539089885.72,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/ale,NA,66756
AKP,Alliance California Municipal Income Fund Inc,12.92,110526310.56,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/akp,NA,1162028
ADS,Alliance Data Systems Corporation,244.68,13518243841.56,n/a,2001,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/ads,NA,1101215
AFB,Alliance National Municipal Income Fund Inc,12.85,369372427.6,n/a,2002,n/a,n/a,https://www.nasdaq.com/symbol/afb,NA,NA
AOI,"Alliance One International, Inc.",21.8,196390205,n/a,n/a,Consumer Services,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/aoi,NA,939930
AWF,Alliance World Dollar Government Fund II,12.07,1040792201.39,n/a,1993,n/a,n/a,https://www.nasdaq.com/symbol/awf,NA,NA
AB,AllianceBernstein Holding L.P.,27.35,2635500399.15,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/ab,NA,825313
LNT,Alliant Energy Corporation,39.75,9190373310,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/lnt,NA,352541
CBH,AllianzGI Convertible & Income 2024 Target Term Fund,9.2,167964510.4,n/a,2017,n/a,n/a,https://www.nasdaq.com/symbol/cbh,NA,715096
NCV,AllianzGI Convertible & Income Fund,6.91,613667785.32,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncv,NA,1214935
NCZ,AllianzGI Convertible & Income Fund II,6.11,457772509.61,n/a,2003,n/a,n/a,https://www.nasdaq.com/symbol/ncz,NA,1227857
ACV,AllianzGI Diversified Income & Convertible Fund,21.74,223377847.8,n/a,2015,n/a,n/a,https://www.nasdaq.com/symbol/acv,NA,1368457
NIE,AllianzGI Equity & Convertible Income Fund,21.53,596574016.45,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/nie,NA,1383441
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",13.15,1246640790.15,n/a,2005,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/nfj,NA,NA
ALSN,"Allison Transmission Holdings, Inc.",39.32,5574032532.72,n/a,2012,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/alsn,NA,1411207
ALL,Allstate Corporation (The),95.04,337392e5,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/all,NA,899051
ALL^A,Allstate Corporation (The),25.1513,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^a,NA,NA
ALL^B,Allstate Corporation (The),25.69,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^b,NA,NA
ALL^C,Allstate Corporation (The),25.89,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^c,NA,NA
ALL^D,Allstate Corporation (The),25.967,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^d,NA,NA
ALL^E,Allstate Corporation (The),25.95,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^e,NA,NA
ALL^F,Allstate Corporation (The),26,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/all^f,NA,NA
ALLY,Ally Financial Inc.,28.67,12530338180,n/a,2014,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/ally,NA,40729
ALLY^A,Ally Financial Inc.,25.64,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/ally^a,NA,NA
AGD,Alpine Global Dynamic Dividend Fund,11.1,139300360.2,n/a,2006,n/a,n/a,https://www.nasdaq.com/symbol/agd,NA,NA
AWP,Alpine Global Premier Properties Fund,6.41,547464965.91,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/awp,NA,NA
AOD,Alpine Total Dynamic Dividend Fund,9.51,1023212653.89,n/a,2007,n/a,n/a,https://www.nasdaq.com/symbol/aod,NA,NA
AYX,"Alteryx, Inc.",29.41,1740078883.12,n/a,2017,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ayx,NA,1689923
ATUS,"Altice USA, Inc.",19.81,14601336216.46,n/a,2017,Consumer Services,Television Services,https://www.nasdaq.com/symbol/atus,NA,NA
RESI,Altisource Residential Corporation,10.76,575099942,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/resi,NA,1555039
MO,Altria Group,65.46,124456426708.32,n/a,n/a,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/mo,NA,764180
ACH,Aluminum Corporation of China Limited,15.86,9454969593.94,n/a,2001,Basic Industries,Aluminum,https://www.nasdaq.com/symbol/ach,NA,1161611
AMBR,"Amber Road, Inc.",9.68,263417696.96,n/a,2014,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ambr,NA,1314223
ABEV,Ambev S.A.,6.9,108405414674.7,n/a,2013,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/abev,NA,1565025
AMC,"AMC Entertainment Holdings, Inc.",14.4,1857770092.8,n/a,2013,Consumer Services,Movies/Entertainment,https://www.nasdaq.com/symbol/amc,NA,1411579
AEE,Ameren Corporation,56.32,13665191823.36,n/a,n/a,Public Utilities,Power Generation,https://www.nasdaq.com/symbol/aee,NA,1002910
AMRC,"Ameresco, Inc.",8.5,386779767,n/a,2010,Basic Industries,Engineering & Construction,https://www.nasdaq.com/symbol/amrc,NA,1488139
AMOV,"America Movil, S.A.B. de C.V.",19.26,63612901419.66,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amov,NA,1129137
AMX,"America Movil, S.A.B. de C.V.",19.24,63546844408.84,n/a,n/a,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/amx,NA,1129137
AAT,"American Assets Trust, Inc.",32.53,1533066032.8,n/a,2011,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/aat,NA,1500217
AXL,"American Axle & Manufacturing Holdings, Inc.",15.22,1693834895.84,n/a,n/a,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/axl,NA,1062231
ACC,American Campus Communities Inc,36.77,5016402625.62,n/a,2004,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/acc,NA,1283630
AEO,"American Eagle Outfitters, Inc.",18.44,3269558524.24,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/aeo,NA,919012
AEP,"American Electric Power Company, Inc.",67.26,33084110239.62,n/a,n/a,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/aep,NA,4904
AEL,American Equity Investment Life Holding Company,31.79,2839835255.73,n/a,2003,Finance,Life Insurance,https://www.nasdaq.com/symbol/ael,NA,1039828
AXP,American Express Company,96.79,8314261e4,n/a,n/a,Finance,Finance: Consumer Services,https://www.nasdaq.com/symbol/axp,NA,4962
AFG,"American Financial Group, Inc.",112.12,9897393e3,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afg,NA,1042046
AFGE,"American Financial Group, Inc.",25.34,0,n/a,2014,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afge,NA,1042046
AFGH,"American Financial Group, Inc.",25.11,0,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afgh,NA,NA
AMH,American Homes 4 Rent,19.69,5645878446.23,n/a,2013,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amh,NA,1562401
AMH^C,American Homes 4 Rent,28.05,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^c,NA,NA
AMH^D,American Homes 4 Rent,25.33,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^d,NA,NA
AMH^E,American Homes 4 Rent,25.17,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^e,NA,NA
AMH^F,American Homes 4 Rent,24.07,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^f,NA,NA
AMH^G,American Homes 4 Rent,23.5401,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/amh^g,NA,NA
AIG,"American International Group, Inc.",59.47,5346353e4,n/a,n/a,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/aig,NA,5272
AIG.WS,"American International Group, Inc.",n/a,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/aig.ws,NA,NA
AMID,"American Midstream Partners, LP",12.1,637841795.8,n/a,2011,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amid,NA,1513965
ARL,"American Realty Investors, Inc.",13.35,213952520.1,n/a,n/a,Finance,Real Estate,https://www.nasdaq.com/symbol/arl,NA,1102238
ARA,"American Renal Associates Holdings, Inc",19.58,615999859.86,n/a,2016,Health Care,Hospital/Nursing Management,https://www.nasdaq.com/symbol/ara,NA,1498068
AWR,American States Water Company,53.65,1967837738.75,n/a,n/a,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awr,NA,1056903
AMT,American Tower Corporation (REIT),140.02,59222351767.52,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/amt,NA,1053507
AVD,American Vanguard Corporation,19.9,592912679.3,n/a,n/a,Basic Industries,Agricultural Chemicals,https://www.nasdaq.com/symbol/avd,NA,5981
AWK,American Water Works,80.5,14359219700,n/a,2008,Public Utilities,Water Supply,https://www.nasdaq.com/symbol/awk,NA,1410636
COLD,Americold Realty Trust,17.98,2481917576.3,n/a,2018,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/cold,NA,1455863
APU,"AmeriGas Partners, L.P.",43.29,4024929048.66,n/a,n/a,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/apu,NA,932628
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",159.81,23428146e3,n/a,n/a,Finance,Investment Managers,https://www.nasdaq.com/symbol/amp,NA,820027
ABC,AmerisourceBergen Corporation (Holding Co),99.4,21835107645.4,n/a,n/a,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/abc,NA,1140859
ANFI,Amira Nature Foods Ltd,4.01,133399162.24,n/a,2012,Consumer Non-Durables,Packaged Foods,https://www.nasdaq.com/symbol/anfi,NA,1552448
AMN,AMN Healthcare Services Inc,56.5,2699136814.5,n/a,n/a,Technology,Professional Services,https://www.nasdaq.com/symbol/amn,NA,1142750
AP,Ampco-Pittsburgh Corporation,11,135976346,n/a,n/a,Capital Goods,Fluid Controls,https://www.nasdaq.com/symbol/ap,NA,6176
APH,Amphenol Corporation,89.99,27477465249.04,n/a,n/a,Capital Goods,Electrical Products,https://www.nasdaq.com/symbol/aph,NA,820313
AXR,AMREP Corporation,7.52,60902254.08,n/a,n/a,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/axr,NA,6207
AME,"AMTEK, Inc.",76.55,17692022042.75,n/a,n/a,Consumer Durables,Metal Fabrications,https://www.nasdaq.com/symbol/ame,NA,1037868
AFSI^A,"AmTrust Financial Services, Inc.",18.401,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^a,NA,NA
AFSI^B,"AmTrust Financial Services, Inc.",18.99,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^b,NA,NA
AFSI^C,"AmTrust Financial Services, Inc.",19.35,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^c,NA,NA
AFSI^D,"AmTrust Financial Services, Inc.",19.1855,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^d,NA,NA
AFSI^E,"AmTrust Financial Services, Inc.",19.875,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^e,NA,NA
AFSI^F,"AmTrust Financial Services, Inc.",19.01,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/afsi^f,NA,NA
AFSS,"AmTrust Financial Services, Inc.",22.88,0,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afss,NA,1365555
AFST,"AmTrust Financial Services, Inc.",24.99,0,n/a,2015,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/afst,NA,NA
AEUA,Anadarko Petroleum Corporation,36.04,0,n/a,2015,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aeua,NA,NA
APC,Anadarko Petroleum Corporation,59.18,32380784223.26,n/a,n/a,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/apc,NA,773910
ANDV,Andeavor,96.15,14999141741.1,n/a,n/a,Energy,Integrated oil Companies,https://www.nasdaq.com/symbol/andv,NA,50104
ANDX,Andeavor Logistics LP,47.78,10326034663.9,n/a,2011,Energy,Natural Gas Distribution,https://www.nasdaq.com/symbol/andx,NA,1507615
AU,AngloGold Ashanti Limited,10.45,4266988224.4,n/a,n/a,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/au,NA,1067428
BUD,Anheuser-Busch Inbev SA,106.12,170613597594.72,n/a,n/a,Consumer Non-Durables,Beverages (Production/Distribution),https://www.nasdaq.com/symbol/bud,NA,1668717
AXE,Anixter International Inc.,77.6,2581934127.2,n/a,n/a,Consumer Non-Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/axe,NA,52795
NLY,Annaly Capital Management Inc,10.68,12383919528.36,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/nly,NA,1043219
NLY^C,Annaly Capital Management Inc,25.44,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^c,NA,NA
NLY^D,Annaly Capital Management Inc,25.41,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^d,NA,NA
NLY^F,Annaly Capital Management Inc,25.34,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^f,NA,NA
NLY^G,Annaly Capital Management Inc,23.96,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/nly^g,NA,NA
AMGP,Antero Midstream GP LP,20.52,3820612623.48,n/a,2017,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/amgp,NA,1623925
AM,Antero Midstream Partners LP,27.7,5178087533.6,n/a,2014,Public Utilities,Natural Gas Distribution,https://www.nasdaq.com/symbol/am,NA,1598968
AR,Antero Resources Corporation,18.93,5991801402.3,n/a,2013,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/ar,NA,1433270
ANTM,"Anthem, Inc.",235.02,60343857645.42,n/a,n/a,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antm,NA,1156039
ANTX,"Anthem, Inc.",57.48,15231407350.8,n/a,2015,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/antx,NA,1156093
ANH,Anworth Mortgage Asset  Corporation,4.94,484666378.82,n/a,n/a,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/anh,NA,1047884
ANH^A,Anworth Mortgage Asset  Corporation,25.8462,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^a,NA,NA
ANH^B,Anworth Mortgage Asset  Corporation,25.5,0,n/a,n/a,n/a,n/a,https://www.nasdaq.com/symbol/anh^b,NA,NA
